taxa,aln,clade,member,source,sample_id,host,region,sample_id,year
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_archive1_phl_Z-15-001_NB07,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_archive1_phl_Z-15-001_NB07,Domestic dog,4A,Z-15-001,2015
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_archive1_phl_Z-15-019_NB05,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_archive1_phl_Z-15-019_NB05,Domestic dog,NCR,Z-15-019,2015
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_archive1_phl_Z-15-116_NB04,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_archive1_phl_Z-15-116_NB04,Domestic dog,4A,Z-15-116,2015
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_archive1_phl_Z-15-130_NB09,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_archive1_phl_Z-15-130_NB09,Domestic dog,4A,Z-15-130,2015
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_archive2_phl_Z-15-148_NB21,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_archive2_phl_Z-15-148_NB21,Domestic dog,NCR,Z-15-148,2015
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_archive2_phl_Z-16-082_NB19,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_archive2_phl_Z-16-082_NB19,Domestic dog,4A,Z-16-082,2016
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_archive2_phl_Z-16-159_NB16,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_archive2_phl_Z-16-159_NB16,Domestic dog,4A,Z-16-159,2016
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_archive2_phl_Z-16-186_NB17,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_archive2_phl_Z-16-186_NB17,Domestic dog,4A,Z-16-186,2016
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_archive1_phl_Z-16-210_NB11,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_archive1_phl_Z-16-210_NB11,Domestic dog,NCR,Z-16-210,2017
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_archive2_phl_Z-16-211_NB15,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_archive2_phl_Z-16-211_NB15,Domestic dog,4A,Z-16-211,2019
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_workshop_phl_Z12-012_BC03,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_workshop_phl_Z12-012_BC03,Domestic dog,4A,Z12-012,2012
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_workshop_phl_Z14-142_BC02,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_workshop_phl_Z14-142_BC02,Domestic dog,4A,Z14-142,2014
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_workshop_phl_Z14-152_BC01,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_workshop_phl_Z14-152_BC01,Domestic dog,NCR,Z14-152,2014
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_workshop_phl_Z15-185_BC04,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_workshop_phl_Z15-185_BC04,Domestic dog,NCR,Z15-185,2015
