filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
FAT54077_05dfcd85_9.fast5	93543dab-0875-4db4-88e8-7e97195420a0	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	91	2	2324.462750	1.421250	1137	TRUE	2324.557750	1061	1.326250	506	10.290256	2.867560	93.401642	11.038376	93.401642	11.038376
FAT54077_05dfcd85_9.fast5	2e44cf03-8080-4a08-abd9-054f604194f6	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	250	3	2468.847750	1.296500	1037	TRUE	2468.866500	1022	1.277750	446	14.291668	2.909322	93.741287	11.717661	93.741287	11.717661
FAT54077_05dfcd85_9.fast5	c53a5b9b-95c0-4b44-a227-9715d4a26df0	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	47	3	2379.195750	1.712750	1370	TRUE	2379.244500	1331	1.664000	535	10.113934	2.717148	88.137192	12.736588	88.137192	12.736588
FAT54077_05dfcd85_9.fast5	4f08ff20-cc2a-4b26-8237-91269c87996f	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	29	1	2525.735000	1.640000	1312	TRUE	2525.783750	1273	1.591250	454	10.514423	2.645854	95.439499	11.717661	95.439499	11.717661
FAT54077_05dfcd85_9.fast5	5ad90aeb-8fa9-4ea0-8415-8ebf7f7a716a	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	398	4	2381.597750	2.383500	1906	TRUE	2381.620250	1888	2.361000	513	11.746840	2.540624	91.533615	12.566767	91.533615	12.566767
FAT54077_05dfcd85_9.fast5	132c27bc-8b74-4b27-a236-5e610419d650	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	35	1	2436.852750	1.249500	999	TRUE	2436.852750	999	1.249500	425	10.079656	2.803061	91.703430	10.868555	91.703430	10.868555
FAT54077_05dfcd85_9.fast5	04f0af1c-02b8-4e77-9346-39f1b2f0c3a4	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	299	3	2457.167750	3.554500	2843	TRUE	2457.211500	2808	3.510750	1152	8.943341	2.756640	89.156113	12.566767	89.156113	12.566767
FAT54077_05dfcd85_9.fast5	eac8780f-dc77-4513-90fe-256779f34952	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	34	1	2325.422250	1.564500	1251	TRUE	2325.494750	1193	1.492000	530	11.860504	2.887560	94.760216	10.698734	94.760216	10.698734
FAT54077_05dfcd85_9.fast5	f752f1df-bfb2-4739-948d-31c30d68838a	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	428	1	2460.053500	5.091250	4073	TRUE	2460.072250	4058	5.072500	1692	9.643136	2.807935	100.024673	12.736588	100.024673	12.736588
FAT54077_05dfcd85_9.fast5	f3126eb1-8950-4210-9e4d-ae1f63f1c1c8	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	12	2	2333.578000	1.347500	1078	TRUE	2333.593000	1066	1.332500	445	10.937861	2.820759	90.684509	11.717661	90.684509	11.717661
FAT54077_05dfcd85_9.fast5	dadf9793-53f0-4a21-85c8-46733793a5f5	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	52	2	2423.489000	1.359500	1087	TRUE	2423.609000	991	1.239500	455	10.409232	2.884348	91.533615	11.208198	91.533615	11.208198
FAT54077_05dfcd85_9.fast5	93e7eae0-be01-462c-a81b-6d1f94b911e1	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	467	1	2361.370750	1.372250	1097	TRUE	2361.579500	930	1.163500	456	9.051465	2.913663	101.043594	11.378018	101.043594	11.378018
FAT54077_05dfcd85_9.fast5	9d73ec19-2ce0-4c54-afbd-553bce7945d5	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	442	1	2436.179000	1.880000	1504	TRUE	2436.236500	1458	1.822500	665	10.105303	2.861083	94.420570	12.227124	94.420570	12.227124
FAT54077_05dfcd85_9.fast5	9bec969f-87dd-4cec-ace8-87103072d0e5	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	433	2	2370.311250	2.730250	2184	TRUE	2370.402500	2111	2.639000	983	9.502310	2.884148	88.816475	12.057303	88.816475	12.057303
